,date,wall street bets,isPartial,delta
0,2015-01-01 00:00:00,0,False,
1,2015-01-01 01:00:00,0,False,
2,2015-01-01 02:00:00,0,False,
3,2015-01-01 03:00:00,0,False,
4,2015-01-01 04:00:00,0,False,
5,2015-01-01 05:00:00,0,False,
6,2015-01-01 06:00:00,0,False,
7,2015-01-01 07:00:00,62,False,inf
8,2015-01-01 08:00:00,0,False,-1.0
9,2015-01-01 09:00:00,0,False,
10,2015-01-01 10:00:00,0,False,
11,2015-01-01 11:00:00,0,False,
12,2015-01-01 12:00:00,0,False,
13,2015-01-01 13:00:00,0,False,
14,2015-01-01 14:00:00,0,False,
15,2015-01-01 15:00:00,0,False,
16,2015-01-01 16:00:00,35,False,inf
17,2015-01-01 17:00:00,0,False,-1.0
18,2015-01-01 18:00:00,0,False,
19,2015-01-01 19:00:00,0,False,
20,2015-01-01 20:00:00,38,False,inf
21,2015-01-01 21:00:00,40,False,0.05263157894736842
22,2015-01-01 22:00:00,0,False,-1.0
23,2015-01-01 23:00:00,0,False,
24,2015-01-02 00:00:00,0,False,
25,2015-01-02 01:00:00,0,False,
26,2015-01-02 02:00:00,0,False,
27,2015-01-02 03:00:00,0,False,
28,2015-01-02 04:00:00,0,False,
29,2015-01-02 05:00:00,0,False,
30,2015-01-02 06:00:00,56,False,inf
31,2015-01-02 07:00:00,0,False,-1.0
32,2015-01-02 08:00:00,0,False,
33,2015-01-02 09:00:00,0,False,
34,2015-01-02 10:00:00,0,False,
35,2015-01-02 11:00:00,40,False,inf
36,2015-01-02 12:00:00,0,False,-1.0
37,2015-01-02 13:00:00,0,False,
38,2015-01-02 14:00:00,32,False,inf
39,2015-01-02 15:00:00,0,False,-1.0
40,2015-01-02 16:00:00,0,False,
41,2015-01-02 17:00:00,0,False,
42,2015-01-02 18:00:00,0,False,
43,2015-01-02 19:00:00,0,False,
44,2015-01-02 20:00:00,0,False,
45,2015-01-02 21:00:00,0,False,
46,2015-01-02 22:00:00,0,False,
47,2015-01-02 23:00:00,0,False,
48,2015-01-03 00:00:00,48,False,inf
49,2015-01-03 01:00:00,0,False,-1.0
50,2015-01-03 02:00:00,52,False,inf
51,2015-01-03 03:00:00,0,False,-1.0
52,2015-01-03 04:00:00,0,False,
53,2015-01-03 05:00:00,0,False,
54,2015-01-03 06:00:00,0,False,
55,2015-01-03 07:00:00,0,False,
56,2015-01-03 08:00:00,0,False,
57,2015-01-03 09:00:00,0,False,
58,2015-01-03 10:00:00,0,False,
59,2015-01-03 11:00:00,0,False,
60,2015-01-03 12:00:00,0,False,
61,2015-01-03 13:00:00,0,False,
62,2015-01-03 14:00:00,0,False,
63,2015-01-03 15:00:00,0,False,
64,2015-01-03 16:00:00,0,False,
65,2015-01-03 17:00:00,0,False,
66,2015-01-03 18:00:00,0,False,
67,2015-01-03 19:00:00,35,False,inf
68,2015-01-03 20:00:00,0,False,-1.0
69,2015-01-03 21:00:00,37,False,inf
70,2015-01-03 22:00:00,0,False,-1.0
71,2015-01-03 23:00:00,0,False,
72,2015-01-04 00:00:00,0,False,
73,2015-01-04 01:00:00,0,False,
74,2015-01-04 02:00:00,0,False,
75,2015-01-04 03:00:00,0,False,
76,2015-01-04 04:00:00,0,False,
77,2015-01-04 05:00:00,0,False,
78,2015-01-04 06:00:00,0,False,
79,2015-01-04 07:00:00,0,False,
80,2015-01-04 08:00:00,0,False,
81,2015-01-04 09:00:00,0,False,
82,2015-01-04 10:00:00,0,False,
83,2015-01-04 11:00:00,0,False,
84,2015-01-04 12:00:00,0,False,
85,2015-01-04 13:00:00,0,False,
86,2015-01-04 14:00:00,0,False,
87,2015-01-04 15:00:00,32,False,inf
88,2015-01-04 16:00:00,0,False,-1.0
89,2015-01-04 17:00:00,31,False,inf
90,2015-01-04 18:00:00,0,False,-1.0
91,2015-01-04 19:00:00,0,False,
92,2015-01-04 20:00:00,0,False,
93,2015-01-04 21:00:00,0,False,
94,2015-01-04 22:00:00,0,False,
95,2015-01-04 23:00:00,0,False,
96,2015-01-05 00:00:00,0,False,
97,2015-01-05 01:00:00,0,False,
98,2015-01-05 02:00:00,0,False,
99,2015-01-05 03:00:00,0,False,
100,2015-01-05 04:00:00,0,False,
101,2015-01-05 05:00:00,0,False,
102,2015-01-05 06:00:00,0,False,
103,2015-01-05 07:00:00,0,False,
104,2015-01-05 08:00:00,0,False,
105,2015-01-05 09:00:00,0,False,
106,2015-01-05 10:00:00,0,False,
107,2015-01-05 11:00:00,0,False,
108,2015-01-05 12:00:00,0,False,
109,2015-01-05 13:00:00,0,False,
110,2015-01-05 14:00:00,28,False,inf
111,2015-01-05 15:00:00,0,False,-1.0
112,2015-01-05 16:00:00,0,False,
113,2015-01-05 17:00:00,0,False,
114,2015-01-05 18:00:00,29,False,inf
115,2015-01-05 19:00:00,0,False,-1.0
116,2015-01-05 20:00:00,0,False,
117,2015-01-05 21:00:00,0,False,
118,2015-01-05 22:00:00,0,False,
119,2015-01-05 23:00:00,0,False,
120,2015-01-06 00:00:00,0,False,
121,2015-01-06 01:00:00,0,False,
122,2015-01-06 02:00:00,0,False,
123,2015-01-06 03:00:00,0,False,
124,2015-01-06 04:00:00,51,False,inf
125,2015-01-06 05:00:00,0,False,-1.0
126,2015-01-06 06:00:00,0,False,
127,2015-01-06 07:00:00,0,False,
128,2015-01-06 08:00:00,0,False,
129,2015-01-06 09:00:00,0,False,
130,2015-01-06 10:00:00,0,False,
131,2015-01-06 11:00:00,0,False,
132,2015-01-06 12:00:00,0,False,
133,2015-01-06 13:00:00,0,False,
