,date,jobs,isPartial,delta
0,2015-01-01 00:00:00,47,False,
1,2015-01-01 01:00:00,49,False,0.0425531914893617
2,2015-01-01 02:00:00,53,False,0.08163265306122448
3,2015-01-01 03:00:00,51,False,-0.03773584905660377
4,2015-01-01 04:00:00,54,False,0.058823529411764705
5,2015-01-01 05:00:00,56,False,0.037037037037037035
6,2015-01-01 06:00:00,62,False,0.10714285714285714
7,2015-01-01 07:00:00,56,False,-0.0967741935483871
8,2015-01-01 08:00:00,62,False,0.10714285714285714
9,2015-01-01 09:00:00,56,False,-0.0967741935483871
10,2015-01-01 10:00:00,55,False,-0.017857142857142856
11,2015-01-01 11:00:00,53,False,-0.03636363636363636
12,2015-01-01 12:00:00,56,False,0.05660377358490566
13,2015-01-01 13:00:00,52,False,-0.07142857142857142
14,2015-01-01 14:00:00,53,False,0.019230769230769232
15,2015-01-01 15:00:00,55,False,0.03773584905660377
16,2015-01-01 16:00:00,63,False,0.14545454545454545
17,2015-01-01 17:00:00,64,False,0.015873015873015872
18,2015-01-01 18:00:00,57,False,-0.109375
19,2015-01-01 19:00:00,59,False,0.03508771929824561
20,2015-01-01 20:00:00,62,False,0.05084745762711865
21,2015-01-01 21:00:00,61,False,-0.016129032258064516
22,2015-01-01 22:00:00,64,False,0.04918032786885246
23,2015-01-01 23:00:00,66,False,0.03125
24,2015-01-02 00:00:00,85,False,0.2878787878787879
25,2015-01-02 01:00:00,70,False,-0.17647058823529413
26,2015-01-02 02:00:00,75,False,0.07142857142857142
27,2015-01-02 03:00:00,78,False,0.04
28,2015-01-02 04:00:00,79,False,0.01282051282051282
29,2015-01-02 05:00:00,81,False,0.02531645569620253
30,2015-01-02 06:00:00,79,False,-0.024691358024691357
31,2015-01-02 07:00:00,70,False,-0.11392405063291139
32,2015-01-02 08:00:00,68,False,-0.02857142857142857
33,2015-01-02 09:00:00,66,False,-0.029411764705882353
34,2015-01-02 10:00:00,72,False,0.09090909090909091
35,2015-01-02 11:00:00,63,False,-0.125
36,2015-01-02 12:00:00,66,False,0.047619047619047616
37,2015-01-02 13:00:00,62,False,-0.06060606060606061
38,2015-01-02 14:00:00,65,False,0.04838709677419355
39,2015-01-02 15:00:00,66,False,0.015384615384615385
40,2015-01-02 16:00:00,69,False,0.045454545454545456
41,2015-01-02 17:00:00,73,False,0.057971014492753624
42,2015-01-02 18:00:00,72,False,-0.0136986301369863
43,2015-01-02 19:00:00,71,False,-0.013888888888888888
44,2015-01-02 20:00:00,71,False,0.0
45,2015-01-02 21:00:00,71,False,0.0
46,2015-01-02 22:00:00,72,False,0.014084507042253521
47,2015-01-02 23:00:00,70,False,-0.027777777777777776
48,2015-01-03 00:00:00,71,False,0.014285714285714285
49,2015-01-03 01:00:00,70,False,-0.014084507042253521
50,2015-01-03 02:00:00,72,False,0.02857142857142857
51,2015-01-03 03:00:00,73,False,0.013888888888888888
52,2015-01-03 04:00:00,75,False,0.0273972602739726
53,2015-01-03 05:00:00,77,False,0.02666666666666667
54,2015-01-03 06:00:00,79,False,0.025974025974025976
55,2015-01-03 07:00:00,72,False,-0.08860759493670886
56,2015-01-03 08:00:00,72,False,0.0
57,2015-01-03 09:00:00,61,False,-0.1527777777777778
58,2015-01-03 10:00:00,60,False,-0.01639344262295082
59,2015-01-03 11:00:00,57,False,-0.05
60,2015-01-03 12:00:00,59,False,0.03508771929824561
61,2015-01-03 13:00:00,57,False,-0.03389830508474576
62,2015-01-03 14:00:00,58,False,0.017543859649122806
63,2015-01-03 15:00:00,59,False,0.017241379310344827
64,2015-01-03 16:00:00,62,False,0.05084745762711865
65,2015-01-03 17:00:00,63,False,0.016129032258064516
66,2015-01-03 18:00:00,64,False,0.015873015873015872
67,2015-01-03 19:00:00,63,False,-0.015625
68,2015-01-03 20:00:00,64,False,0.015873015873015872
69,2015-01-03 21:00:00,64,False,0.0
70,2015-01-03 22:00:00,65,False,0.015625
71,2015-01-03 23:00:00,67,False,0.03076923076923077
72,2015-01-04 00:00:00,67,False,0.0
73,2015-01-04 01:00:00,65,False,-0.029850746268656716
74,2015-01-04 02:00:00,71,False,0.09230769230769231
75,2015-01-04 03:00:00,72,False,0.014084507042253521
76,2015-01-04 04:00:00,72,False,0.0
77,2015-01-04 05:00:00,73,False,0.013888888888888888
78,2015-01-04 06:00:00,75,False,0.0273972602739726
79,2015-01-04 07:00:00,66,False,-0.12
80,2015-01-04 08:00:00,62,False,-0.06060606060606061
81,2015-01-04 09:00:00,60,False,-0.03225806451612903
82,2015-01-04 10:00:00,60,False,0.0
83,2015-01-04 11:00:00,59,False,-0.016666666666666666
84,2015-01-04 12:00:00,62,False,0.05084745762711865
85,2015-01-04 13:00:00,58,False,-0.06451612903225806
86,2015-01-04 14:00:00,59,False,0.017241379310344827
87,2015-01-04 15:00:00,62,False,0.05084745762711865
88,2015-01-04 16:00:00,72,False,0.16129032258064516
89,2015-01-04 17:00:00,69,False,-0.041666666666666664
90,2015-01-04 18:00:00,73,False,0.057971014492753624
91,2015-01-04 19:00:00,76,False,0.0410958904109589
92,2015-01-04 20:00:00,79,False,0.039473684210526314
93,2015-01-04 21:00:00,82,False,0.0379746835443038
94,2015-01-04 22:00:00,84,False,0.024390243902439025
95,2015-01-04 23:00:00,86,False,0.023809523809523808
96,2015-01-05 00:00:00,86,False,0.0
97,2015-01-05 01:00:00,84,False,-0.023255813953488372
98,2015-01-05 02:00:00,92,False,0.09523809523809523
99,2015-01-05 03:00:00,92,False,0.0
100,2015-01-05 04:00:00,93,False,0.010869565217391304
