,date,stock trading,isPartial,delta
0,2015-01-01 00:00:00,25,False,
1,2015-01-01 01:00:00,19,False,-0.24
2,2015-01-01 02:00:00,14,False,-0.2631578947368421
3,2015-01-01 03:00:00,15,False,0.07142857142857142
4,2015-01-01 04:00:00,17,False,0.13333333333333333
5,2015-01-01 05:00:00,20,False,0.17647058823529413
6,2015-01-01 06:00:00,19,False,-0.05
7,2015-01-01 07:00:00,24,False,0.2631578947368421
8,2015-01-01 08:00:00,20,False,-0.16666666666666666
9,2015-01-01 09:00:00,16,False,-0.2
10,2015-01-01 10:00:00,16,False,0.0
11,2015-01-01 11:00:00,20,False,0.25
12,2015-01-01 12:00:00,13,False,-0.35
13,2015-01-01 13:00:00,13,False,0.0
14,2015-01-01 14:00:00,17,False,0.3076923076923077
15,2015-01-01 15:00:00,22,False,0.29411764705882354
16,2015-01-01 16:00:00,15,False,-0.3181818181818182
17,2015-01-01 17:00:00,18,False,0.2
18,2015-01-01 18:00:00,12,False,-0.3333333333333333
19,2015-01-01 19:00:00,15,False,0.25
20,2015-01-01 20:00:00,15,False,0.0
21,2015-01-01 21:00:00,17,False,0.13333333333333333
22,2015-01-01 22:00:00,17,False,0.0
23,2015-01-01 23:00:00,21,False,0.23529411764705882
24,2015-01-02 00:00:00,20,False,-0.047619047619047616
25,2015-01-02 01:00:00,20,False,0.0
26,2015-01-02 02:00:00,17,False,-0.15
27,2015-01-02 03:00:00,17,False,0.0
28,2015-01-02 04:00:00,23,False,0.35294117647058826
29,2015-01-02 05:00:00,23,False,0.0
30,2015-01-02 06:00:00,18,False,-0.21739130434782608
31,2015-01-02 07:00:00,19,False,0.05555555555555555
32,2015-01-02 08:00:00,20,False,0.05263157894736842
33,2015-01-02 09:00:00,17,False,-0.15
34,2015-01-02 10:00:00,15,False,-0.11764705882352941
35,2015-01-02 11:00:00,16,False,0.06666666666666667
36,2015-01-02 12:00:00,24,False,0.5
37,2015-01-02 13:00:00,13,False,-0.4583333333333333
38,2015-01-02 14:00:00,16,False,0.23076923076923078
39,2015-01-02 15:00:00,21,False,0.3125
40,2015-01-02 16:00:00,21,False,0.0
41,2015-01-02 17:00:00,18,False,-0.14285714285714285
42,2015-01-02 18:00:00,15,False,-0.16666666666666666
43,2015-01-02 19:00:00,14,False,-0.06666666666666667
44,2015-01-02 20:00:00,16,False,0.14285714285714285
45,2015-01-02 21:00:00,15,False,-0.0625
46,2015-01-02 22:00:00,14,False,-0.06666666666666667
47,2015-01-02 23:00:00,16,False,0.14285714285714285
48,2015-01-03 00:00:00,24,False,0.5
49,2015-01-03 01:00:00,18,False,-0.25
50,2015-01-03 02:00:00,22,False,0.2222222222222222
51,2015-01-03 03:00:00,18,False,-0.18181818181818182
52,2015-01-03 04:00:00,25,False,0.3888888888888889
53,2015-01-03 05:00:00,15,False,-0.4
54,2015-01-03 06:00:00,18,False,0.2
55,2015-01-03 07:00:00,19,False,0.05555555555555555
56,2015-01-03 08:00:00,18,False,-0.05263157894736842
57,2015-01-03 09:00:00,23,False,0.2777777777777778
58,2015-01-03 10:00:00,16,False,-0.30434782608695654
59,2015-01-03 11:00:00,13,False,-0.1875
60,2015-01-03 12:00:00,14,False,0.07692307692307693
61,2015-01-03 13:00:00,28,False,1.0
62,2015-01-03 14:00:00,15,False,-0.4642857142857143
63,2015-01-03 15:00:00,11,False,-0.26666666666666666
64,2015-01-03 16:00:00,12,False,0.09090909090909091
65,2015-01-03 17:00:00,20,False,0.6666666666666666
66,2015-01-03 18:00:00,20,False,0.0
67,2015-01-03 19:00:00,12,False,-0.4
68,2015-01-03 20:00:00,14,False,0.16666666666666666
69,2015-01-03 21:00:00,14,False,0.0
70,2015-01-03 22:00:00,13,False,-0.07142857142857142
71,2015-01-03 23:00:00,16,False,0.23076923076923078
72,2015-01-04 00:00:00,14,False,-0.125
73,2015-01-04 01:00:00,15,False,0.07142857142857142
74,2015-01-04 02:00:00,15,False,0.0
75,2015-01-04 03:00:00,18,False,0.2
76,2015-01-04 04:00:00,18,False,0.0
77,2015-01-04 05:00:00,19,False,0.05555555555555555
78,2015-01-04 06:00:00,24,False,0.2631578947368421
79,2015-01-04 07:00:00,20,False,-0.16666666666666666
80,2015-01-04 08:00:00,21,False,0.05
81,2015-01-04 09:00:00,17,False,-0.19047619047619047
82,2015-01-04 10:00:00,19,False,0.11764705882352941
83,2015-01-04 11:00:00,16,False,-0.15789473684210525
84,2015-01-04 12:00:00,12,False,-0.25
85,2015-01-04 13:00:00,14,False,0.16666666666666666
86,2015-01-04 14:00:00,14,False,0.0
87,2015-01-04 15:00:00,11,False,-0.21428571428571427
88,2015-01-04 16:00:00,12,False,0.09090909090909091
89,2015-01-04 17:00:00,12,False,0.0
90,2015-01-04 18:00:00,12,False,0.0
91,2015-01-04 19:00:00,20,False,0.6666666666666666
92,2015-01-04 20:00:00,13,False,-0.35
93,2015-01-04 21:00:00,15,False,0.15384615384615385
94,2015-01-04 22:00:00,14,False,-0.06666666666666667
95,2015-01-04 23:00:00,15,False,0.07142857142857142
96,2015-01-05 00:00:00,62,False,3.1333333333333333
97,2015-01-05 01:00:00,22,False,-0.6451612903225806
98,2015-01-05 02:00:00,22,False,0.0
99,2015-01-05 03:00:00,22,False,0.0
100,2015-01-05 04:00:00,26,False,0.18181818181818182
101,2015-01-05 05:00:00,22,False,-0.15384615384615385
102,2015-01-05 06:00:00,20,False,-0.09090909090909091
103,2015-01-05 07:00:00,27,False,0.35
104,2015-01-05 08:00:00,19,False,-0.2962962962962963
