,date,sports,isPartial,delta
0,2015-01-01 00:00:00,59,False,
1,2015-01-01 01:00:00,56,False,-0.05084745762711865
2,2015-01-01 02:00:00,53,False,-0.05357142857142857
3,2015-01-01 03:00:00,54,False,0.018867924528301886
4,2015-01-01 04:00:00,48,False,-0.1111111111111111
5,2015-01-01 05:00:00,43,False,-0.10416666666666667
6,2015-01-01 06:00:00,44,False,0.023255813953488372
7,2015-01-01 07:00:00,40,False,-0.09090909090909091
8,2015-01-01 08:00:00,44,False,0.1
9,2015-01-01 09:00:00,46,False,0.045454545454545456
10,2015-01-01 10:00:00,50,False,0.08695652173913043
11,2015-01-01 11:00:00,55,False,0.1
12,2015-01-01 12:00:00,67,False,0.21818181818181817
13,2015-01-01 13:00:00,72,False,0.07462686567164178
14,2015-01-01 14:00:00,79,False,0.09722222222222222
15,2015-01-01 15:00:00,88,False,0.11392405063291139
16,2015-01-01 16:00:00,82,False,-0.06818181818181818
17,2015-01-01 17:00:00,80,False,-0.024390243902439025
18,2015-01-01 18:00:00,81,False,0.0125
19,2015-01-01 19:00:00,84,False,0.037037037037037035
20,2015-01-01 20:00:00,75,False,-0.10714285714285714
21,2015-01-01 21:00:00,76,False,0.013333333333333334
22,2015-01-01 22:00:00,85,False,0.11842105263157894
23,2015-01-01 23:00:00,79,False,-0.07058823529411765
24,2015-01-02 00:00:00,75,False,-0.05063291139240506
25,2015-01-02 01:00:00,72,False,-0.04
26,2015-01-02 02:00:00,70,False,-0.027777777777777776
27,2015-01-02 03:00:00,65,False,-0.07142857142857142
28,2015-01-02 04:00:00,62,False,-0.046153846153846156
29,2015-01-02 05:00:00,56,False,-0.0967741935483871
30,2015-01-02 06:00:00,50,False,-0.10714285714285714
31,2015-01-02 07:00:00,43,False,-0.14
32,2015-01-02 08:00:00,43,False,0.0
33,2015-01-02 09:00:00,43,False,0.0
34,2015-01-02 10:00:00,45,False,0.046511627906976744
35,2015-01-02 11:00:00,44,False,-0.022222222222222223
36,2015-01-02 12:00:00,46,False,0.045454545454545456
37,2015-01-02 13:00:00,48,False,0.043478260869565216
38,2015-01-02 14:00:00,51,False,0.0625
39,2015-01-02 15:00:00,53,False,0.0392156862745098
40,2015-01-02 16:00:00,56,False,0.05660377358490566
41,2015-01-02 17:00:00,59,False,0.05357142857142857
42,2015-01-02 18:00:00,60,False,0.01694915254237288
43,2015-01-02 19:00:00,65,False,0.08333333333333333
44,2015-01-02 20:00:00,68,False,0.046153846153846156
45,2015-01-02 21:00:00,70,False,0.029411764705882353
46,2015-01-02 22:00:00,72,False,0.02857142857142857
47,2015-01-02 23:00:00,72,False,0.0
48,2015-01-03 00:00:00,74,False,0.027777777777777776
49,2015-01-03 01:00:00,74,False,0.0
50,2015-01-03 02:00:00,70,False,-0.05405405405405406
51,2015-01-03 03:00:00,68,False,-0.02857142857142857
52,2015-01-03 04:00:00,62,False,-0.08823529411764706
53,2015-01-03 05:00:00,56,False,-0.0967741935483871
54,2015-01-03 06:00:00,51,False,-0.08928571428571429
55,2015-01-03 07:00:00,47,False,-0.0784313725490196
56,2015-01-03 08:00:00,48,False,0.02127659574468085
57,2015-01-03 09:00:00,48,False,0.0
58,2015-01-03 10:00:00,47,False,-0.020833333333333332
59,2015-01-03 11:00:00,50,False,0.06382978723404255
60,2015-01-03 12:00:00,50,False,0.0
61,2015-01-03 13:00:00,53,False,0.06
62,2015-01-03 14:00:00,59,False,0.11320754716981132
63,2015-01-03 15:00:00,72,False,0.22033898305084745
64,2015-01-03 16:00:00,65,False,-0.09722222222222222
65,2015-01-03 17:00:00,64,False,-0.015384615384615385
66,2015-01-03 18:00:00,66,False,0.03125
67,2015-01-03 19:00:00,69,False,0.045454545454545456
68,2015-01-03 20:00:00,71,False,0.028985507246376812
69,2015-01-03 21:00:00,80,False,0.1267605633802817
70,2015-01-03 22:00:00,79,False,-0.0125
71,2015-01-03 23:00:00,80,False,0.012658227848101266
72,2015-01-04 00:00:00,88,False,0.1
73,2015-01-04 01:00:00,98,False,0.11363636363636363
74,2015-01-04 02:00:00,92,False,-0.061224489795918366
75,2015-01-04 03:00:00,99,False,0.07608695652173914
76,2015-01-04 04:00:00,83,False,-0.16161616161616163
77,2015-01-04 05:00:00,77,False,-0.07228915662650602
78,2015-01-04 06:00:00,53,False,-0.3116883116883117
79,2015-01-04 07:00:00,47,False,-0.11320754716981132
80,2015-01-04 08:00:00,45,False,-0.0425531914893617
81,2015-01-04 09:00:00,46,False,0.022222222222222223
82,2015-01-04 10:00:00,47,False,0.021739130434782608
83,2015-01-04 11:00:00,48,False,0.02127659574468085
84,2015-01-04 12:00:00,53,False,0.10416666666666667
85,2015-01-04 13:00:00,56,False,0.05660377358490566
86,2015-01-04 14:00:00,61,False,0.08928571428571429
87,2015-01-04 15:00:00,74,False,0.21311475409836064
88,2015-01-04 16:00:00,77,False,0.04054054054054054
89,2015-01-04 17:00:00,76,False,-0.012987012987012988
90,2015-01-04 18:00:00,76,False,0.0
91,2015-01-04 19:00:00,77,False,0.013157894736842105
92,2015-01-04 20:00:00,85,False,0.1038961038961039
93,2015-01-04 21:00:00,93,False,0.09411764705882353
94,2015-01-04 22:00:00,100,False,0.07526881720430108
95,2015-01-04 23:00:00,84,False,-0.16
96,2015-01-05 00:00:00,83,False,-0.011904761904761904
97,2015-01-05 01:00:00,75,False,-0.0963855421686747
98,2015-01-05 02:00:00,65,False,-0.13333333333333333
99,2015-01-05 03:00:00,60,False,-0.07692307692307693
100,2015-01-05 04:00:00,55,False,-0.08333333333333333
