,date,interest rates,isPartial,delta
0,2015-01-01 00:00:00,35,False,
1,2015-01-01 01:00:00,40,False,0.14285714285714285
2,2015-01-01 02:00:00,46,False,0.15
3,2015-01-01 03:00:00,68,False,0.4782608695652174
4,2015-01-01 04:00:00,47,False,-0.3088235294117647
5,2015-01-01 05:00:00,60,False,0.2765957446808511
6,2015-01-01 06:00:00,73,False,0.21666666666666667
7,2015-01-01 07:00:00,65,False,-0.1095890410958904
8,2015-01-01 08:00:00,55,False,-0.15384615384615385
9,2015-01-01 09:00:00,52,False,-0.05454545454545454
10,2015-01-01 10:00:00,59,False,0.1346153846153846
11,2015-01-01 11:00:00,65,False,0.1016949152542373
12,2015-01-01 12:00:00,50,False,-0.23076923076923078
13,2015-01-01 13:00:00,57,False,0.14
14,2015-01-01 14:00:00,51,False,-0.10526315789473684
15,2015-01-01 15:00:00,60,False,0.17647058823529413
16,2015-01-01 16:00:00,47,False,-0.21666666666666667
17,2015-01-01 17:00:00,49,False,0.0425531914893617
18,2015-01-01 18:00:00,45,False,-0.08163265306122448
19,2015-01-01 19:00:00,46,False,0.022222222222222223
20,2015-01-01 20:00:00,54,False,0.17391304347826086
21,2015-01-01 21:00:00,41,False,-0.24074074074074073
22,2015-01-01 22:00:00,41,False,0.0
23,2015-01-01 23:00:00,40,False,-0.024390243902439025
24,2015-01-02 00:00:00,46,False,0.15
25,2015-01-02 01:00:00,53,False,0.15217391304347827
26,2015-01-02 02:00:00,54,False,0.018867924528301886
27,2015-01-02 03:00:00,59,False,0.09259259259259259
28,2015-01-02 04:00:00,66,False,0.11864406779661017
29,2015-01-02 05:00:00,70,False,0.06060606060606061
30,2015-01-02 06:00:00,71,False,0.014285714285714285
31,2015-01-02 07:00:00,75,False,0.056338028169014086
32,2015-01-02 08:00:00,61,False,-0.18666666666666668
33,2015-01-02 09:00:00,81,False,0.32786885245901637
34,2015-01-02 10:00:00,60,False,-0.25925925925925924
35,2015-01-02 11:00:00,63,False,0.05
36,2015-01-02 12:00:00,55,False,-0.12698412698412698
37,2015-01-02 13:00:00,61,False,0.10909090909090909
38,2015-01-02 14:00:00,49,False,-0.19672131147540983
39,2015-01-02 15:00:00,55,False,0.12244897959183673
40,2015-01-02 16:00:00,68,False,0.23636363636363636
41,2015-01-02 17:00:00,49,False,-0.27941176470588236
42,2015-01-02 18:00:00,48,False,-0.02040816326530612
43,2015-01-02 19:00:00,50,False,0.041666666666666664
44,2015-01-02 20:00:00,57,False,0.14
45,2015-01-02 21:00:00,48,False,-0.15789473684210525
46,2015-01-02 22:00:00,42,False,-0.125
47,2015-01-02 23:00:00,46,False,0.09523809523809523
48,2015-01-03 00:00:00,43,False,-0.06521739130434782
49,2015-01-03 01:00:00,44,False,0.023255813953488372
50,2015-01-03 02:00:00,49,False,0.11363636363636363
51,2015-01-03 03:00:00,58,False,0.1836734693877551
52,2015-01-03 04:00:00,55,False,-0.05172413793103448
53,2015-01-03 05:00:00,82,False,0.4909090909090909
54,2015-01-03 06:00:00,61,False,-0.25609756097560976
55,2015-01-03 07:00:00,78,False,0.2786885245901639
56,2015-01-03 08:00:00,56,False,-0.28205128205128205
57,2015-01-03 09:00:00,68,False,0.21428571428571427
58,2015-01-03 10:00:00,48,False,-0.29411764705882354
59,2015-01-03 11:00:00,58,False,0.20833333333333334
60,2015-01-03 12:00:00,46,False,-0.20689655172413793
61,2015-01-03 13:00:00,53,False,0.15217391304347827
62,2015-01-03 14:00:00,40,False,-0.24528301886792453
63,2015-01-03 15:00:00,59,False,0.475
64,2015-01-03 16:00:00,49,False,-0.1694915254237288
65,2015-01-03 17:00:00,37,False,-0.24489795918367346
66,2015-01-03 18:00:00,49,False,0.32432432432432434
67,2015-01-03 19:00:00,41,False,-0.16326530612244897
68,2015-01-03 20:00:00,49,False,0.1951219512195122
69,2015-01-03 21:00:00,46,False,-0.061224489795918366
70,2015-01-03 22:00:00,53,False,0.15217391304347827
71,2015-01-03 23:00:00,38,False,-0.2830188679245283
72,2015-01-04 00:00:00,55,False,0.4473684210526316
73,2015-01-04 01:00:00,42,False,-0.23636363636363636
74,2015-01-04 02:00:00,60,False,0.42857142857142855
75,2015-01-04 03:00:00,53,False,-0.11666666666666667
76,2015-01-04 04:00:00,68,False,0.2830188679245283
77,2015-01-04 05:00:00,48,False,-0.29411764705882354
78,2015-01-04 06:00:00,68,False,0.4166666666666667
79,2015-01-04 07:00:00,53,False,-0.22058823529411764
80,2015-01-04 08:00:00,48,False,-0.09433962264150944
81,2015-01-04 09:00:00,64,False,0.3333333333333333
82,2015-01-04 10:00:00,45,False,-0.296875
83,2015-01-04 11:00:00,58,False,0.28888888888888886
84,2015-01-04 12:00:00,39,False,-0.3275862068965517
85,2015-01-04 13:00:00,55,False,0.41025641025641024
86,2015-01-04 14:00:00,41,False,-0.2545454545454545
87,2015-01-04 15:00:00,54,False,0.3170731707317073
88,2015-01-04 16:00:00,41,False,-0.24074074074074073
89,2015-01-04 17:00:00,50,False,0.21951219512195122
90,2015-01-04 18:00:00,40,False,-0.2
91,2015-01-04 19:00:00,58,False,0.45
92,2015-01-04 20:00:00,40,False,-0.3103448275862069
93,2015-01-04 21:00:00,43,False,0.075
94,2015-01-04 22:00:00,59,False,0.37209302325581395
95,2015-01-04 23:00:00,52,False,-0.11864406779661017
96,2015-01-05 00:00:00,54,False,0.038461538461538464
97,2015-01-05 01:00:00,72,False,0.3333333333333333
98,2015-01-05 02:00:00,62,False,-0.1388888888888889
99,2015-01-05 03:00:00,66,False,0.06451612903225806
