,date,news,isPartial,delta
0,2015-01-01 00:00:00,78,False,
1,2015-01-01 01:00:00,78,False,0.0
2,2015-01-01 02:00:00,79,False,0.01282051282051282
3,2015-01-01 03:00:00,82,False,0.0379746835443038
4,2015-01-01 04:00:00,93,False,0.13414634146341464
5,2015-01-01 05:00:00,93,False,0.0
6,2015-01-01 06:00:00,89,False,-0.043010752688172046
7,2015-01-01 07:00:00,88,False,-0.011235955056179775
8,2015-01-01 08:00:00,88,False,0.0
9,2015-01-01 09:00:00,89,False,0.011363636363636364
10,2015-01-01 10:00:00,85,False,-0.0449438202247191
11,2015-01-01 11:00:00,81,False,-0.047058823529411764
12,2015-01-01 12:00:00,76,False,-0.06172839506172839
13,2015-01-01 13:00:00,78,False,0.02631578947368421
14,2015-01-01 14:00:00,77,False,-0.01282051282051282
15,2015-01-01 15:00:00,74,False,-0.03896103896103896
16,2015-01-01 16:00:00,72,False,-0.02702702702702703
17,2015-01-01 17:00:00,72,False,0.0
18,2015-01-01 18:00:00,65,False,-0.09722222222222222
19,2015-01-01 19:00:00,65,False,0.0
20,2015-01-01 20:00:00,65,False,0.0
21,2015-01-01 21:00:00,63,False,-0.03076923076923077
22,2015-01-01 22:00:00,64,False,0.015873015873015872
23,2015-01-01 23:00:00,63,False,-0.015625
24,2015-01-02 00:00:00,65,False,0.031746031746031744
25,2015-01-02 01:00:00,65,False,0.0
26,2015-01-02 02:00:00,69,False,0.06153846153846154
27,2015-01-02 03:00:00,73,False,0.057971014492753624
28,2015-01-02 04:00:00,78,False,0.0684931506849315
29,2015-01-02 05:00:00,82,False,0.05128205128205128
30,2015-01-02 06:00:00,84,False,0.024390243902439025
31,2015-01-02 07:00:00,82,False,-0.023809523809523808
32,2015-01-02 08:00:00,80,False,-0.024390243902439025
33,2015-01-02 09:00:00,77,False,-0.0375
34,2015-01-02 10:00:00,74,False,-0.03896103896103896
35,2015-01-02 11:00:00,73,False,-0.013513513513513514
36,2015-01-02 12:00:00,73,False,0.0
37,2015-01-02 13:00:00,73,False,0.0
38,2015-01-02 14:00:00,72,False,-0.0136986301369863
39,2015-01-02 15:00:00,71,False,-0.013888888888888888
40,2015-01-02 16:00:00,71,False,0.0
41,2015-01-02 17:00:00,70,False,-0.014084507042253521
42,2015-01-02 18:00:00,67,False,-0.04285714285714286
43,2015-01-02 19:00:00,64,False,-0.04477611940298507
44,2015-01-02 20:00:00,62,False,-0.03125
45,2015-01-02 21:00:00,62,False,0.0
46,2015-01-02 22:00:00,63,False,0.016129032258064516
47,2015-01-02 23:00:00,63,False,0.0
48,2015-01-03 00:00:00,62,False,-0.015873015873015872
49,2015-01-03 01:00:00,64,False,0.03225806451612903
50,2015-01-03 02:00:00,67,False,0.046875
51,2015-01-03 03:00:00,71,False,0.05970149253731343
52,2015-01-03 04:00:00,78,False,0.09859154929577464
53,2015-01-03 05:00:00,78,False,0.0
54,2015-01-03 06:00:00,78,False,0.0
55,2015-01-03 07:00:00,77,False,-0.01282051282051282
56,2015-01-03 08:00:00,76,False,-0.012987012987012988
57,2015-01-03 09:00:00,74,False,-0.02631578947368421
58,2015-01-03 10:00:00,71,False,-0.04054054054054054
59,2015-01-03 11:00:00,68,False,-0.04225352112676056
60,2015-01-03 12:00:00,67,False,-0.014705882352941176
61,2015-01-03 13:00:00,68,False,0.014925373134328358
62,2015-01-03 14:00:00,68,False,0.0
63,2015-01-03 15:00:00,66,False,-0.029411764705882353
64,2015-01-03 16:00:00,65,False,-0.015151515151515152
65,2015-01-03 17:00:00,65,False,0.0
66,2015-01-03 18:00:00,63,False,-0.03076923076923077
67,2015-01-03 19:00:00,61,False,-0.031746031746031744
68,2015-01-03 20:00:00,60,False,-0.01639344262295082
69,2015-01-03 21:00:00,59,False,-0.016666666666666666
70,2015-01-03 22:00:00,58,False,-0.01694915254237288
71,2015-01-03 23:00:00,60,False,0.034482758620689655
72,2015-01-04 00:00:00,59,False,-0.016666666666666666
73,2015-01-04 01:00:00,61,False,0.03389830508474576
74,2015-01-04 02:00:00,65,False,0.06557377049180328
75,2015-01-04 03:00:00,69,False,0.06153846153846154
76,2015-01-04 04:00:00,73,False,0.057971014492753624
77,2015-01-04 05:00:00,76,False,0.0410958904109589
78,2015-01-04 06:00:00,77,False,0.013157894736842105
79,2015-01-04 07:00:00,78,False,0.012987012987012988
80,2015-01-04 08:00:00,77,False,-0.01282051282051282
81,2015-01-04 09:00:00,76,False,-0.012987012987012988
82,2015-01-04 10:00:00,73,False,-0.039473684210526314
83,2015-01-04 11:00:00,70,False,-0.0410958904109589
84,2015-01-04 12:00:00,71,False,0.014285714285714285
85,2015-01-04 13:00:00,72,False,0.014084507042253521
86,2015-01-04 14:00:00,71,False,-0.013888888888888888
87,2015-01-04 15:00:00,70,False,-0.014084507042253521
88,2015-01-04 16:00:00,69,False,-0.014285714285714285
89,2015-01-04 17:00:00,70,False,0.014492753623188406
90,2015-01-04 18:00:00,69,False,-0.014285714285714285
91,2015-01-04 19:00:00,66,False,-0.043478260869565216
92,2015-01-04 20:00:00,64,False,-0.030303030303030304
93,2015-01-04 21:00:00,63,False,-0.015625
94,2015-01-04 22:00:00,64,False,0.015873015873015872
95,2015-01-04 23:00:00,64,False,0.0
96,2015-01-05 00:00:00,64,False,0.0
97,2015-01-05 01:00:00,68,False,0.0625
98,2015-01-05 02:00:00,72,False,0.058823529411764705
99,2015-01-05 03:00:00,77,False,0.06944444444444445
100,2015-01-05 04:00:00,85,False,0.1038961038961039
101,2015-01-05 05:00:00,87,False,0.023529411764705882
