,date,hedge fund,isPartial,delta
0,2015-01-01 00:00:00,4,False,
1,2015-01-01 01:00:00,5,False,0.25
2,2015-01-01 02:00:00,4,False,-0.2
3,2015-01-01 03:00:00,5,False,0.25
4,2015-01-01 04:00:00,4,False,-0.2
5,2015-01-01 05:00:00,5,False,0.25
6,2015-01-01 06:00:00,6,False,0.2
7,2015-01-01 07:00:00,5,False,-0.16666666666666666
8,2015-01-01 08:00:00,3,False,-0.4
9,2015-01-01 09:00:00,13,False,3.3333333333333335
10,2015-01-01 10:00:00,3,False,-0.7692307692307693
11,2015-01-01 11:00:00,2,False,-0.3333333333333333
12,2015-01-01 12:00:00,3,False,0.5
13,2015-01-01 13:00:00,3,False,0.0
14,2015-01-01 14:00:00,4,False,0.3333333333333333
15,2015-01-01 15:00:00,5,False,0.25
16,2015-01-01 16:00:00,5,False,0.0
17,2015-01-01 17:00:00,4,False,-0.2
18,2015-01-01 18:00:00,4,False,0.0
19,2015-01-01 19:00:00,4,False,0.0
20,2015-01-01 20:00:00,5,False,0.25
21,2015-01-01 21:00:00,5,False,0.0
22,2015-01-01 22:00:00,6,False,0.2
23,2015-01-01 23:00:00,5,False,-0.16666666666666666
24,2015-01-02 00:00:00,6,False,0.2
25,2015-01-02 01:00:00,6,False,0.0
26,2015-01-02 02:00:00,6,False,0.0
27,2015-01-02 03:00:00,5,False,-0.16666666666666666
28,2015-01-02 04:00:00,5,False,0.0
29,2015-01-02 05:00:00,5,False,0.0
30,2015-01-02 06:00:00,4,False,-0.2
31,2015-01-02 07:00:00,4,False,0.0
32,2015-01-02 08:00:00,4,False,0.0
33,2015-01-02 09:00:00,4,False,0.0
34,2015-01-02 10:00:00,4,False,0.0
35,2015-01-02 11:00:00,4,False,0.0
36,2015-01-02 12:00:00,3,False,-0.25
37,2015-01-02 13:00:00,4,False,0.3333333333333333
38,2015-01-02 14:00:00,4,False,0.0
39,2015-01-02 15:00:00,5,False,0.25
40,2015-01-02 16:00:00,8,False,0.6
41,2015-01-02 17:00:00,5,False,-0.375
42,2015-01-02 18:00:00,5,False,0.0
43,2015-01-02 19:00:00,5,False,0.0
44,2015-01-02 20:00:00,6,False,0.2
45,2015-01-02 21:00:00,6,False,0.0
46,2015-01-02 22:00:00,6,False,0.0
47,2015-01-02 23:00:00,5,False,-0.16666666666666666
48,2015-01-03 00:00:00,5,False,0.0
49,2015-01-03 01:00:00,6,False,0.2
50,2015-01-03 02:00:00,5,False,-0.16666666666666666
51,2015-01-03 03:00:00,6,False,0.2
52,2015-01-03 04:00:00,4,False,-0.3333333333333333
53,2015-01-03 05:00:00,6,False,0.5
54,2015-01-03 06:00:00,4,False,-0.3333333333333333
55,2015-01-03 07:00:00,4,False,0.0
56,2015-01-03 08:00:00,3,False,-0.25
57,2015-01-03 09:00:00,3,False,0.0
58,2015-01-03 10:00:00,3,False,0.0
59,2015-01-03 11:00:00,2,False,-0.3333333333333333
60,2015-01-03 12:00:00,3,False,0.5
61,2015-01-03 13:00:00,3,False,0.0
62,2015-01-03 14:00:00,3,False,0.0
63,2015-01-03 15:00:00,3,False,0.0
64,2015-01-03 16:00:00,4,False,0.3333333333333333
65,2015-01-03 17:00:00,5,False,0.25
66,2015-01-03 18:00:00,3,False,-0.4
67,2015-01-03 19:00:00,3,False,0.0
68,2015-01-03 20:00:00,4,False,0.3333333333333333
69,2015-01-03 21:00:00,4,False,0.0
70,2015-01-03 22:00:00,5,False,0.25
71,2015-01-03 23:00:00,5,False,0.0
72,2015-01-04 00:00:00,5,False,0.0
73,2015-01-04 01:00:00,5,False,0.0
74,2015-01-04 02:00:00,4,False,-0.2
75,2015-01-04 03:00:00,5,False,0.25
76,2015-01-04 04:00:00,5,False,0.0
77,2015-01-04 05:00:00,4,False,-0.2
78,2015-01-04 06:00:00,5,False,0.25
79,2015-01-04 07:00:00,4,False,-0.2
80,2015-01-04 08:00:00,4,False,0.0
81,2015-01-04 09:00:00,3,False,-0.25
82,2015-01-04 10:00:00,3,False,0.0
83,2015-01-04 11:00:00,3,False,0.0
84,2015-01-04 12:00:00,3,False,0.0
85,2015-01-04 13:00:00,3,False,0.0
86,2015-01-04 14:00:00,4,False,0.3333333333333333
87,2015-01-04 15:00:00,4,False,0.0
88,2015-01-04 16:00:00,4,False,0.0
89,2015-01-04 17:00:00,4,False,0.0
90,2015-01-04 18:00:00,5,False,0.25
91,2015-01-04 19:00:00,5,False,0.0
92,2015-01-04 20:00:00,4,False,-0.2
93,2015-01-04 21:00:00,5,False,0.25
94,2015-01-04 22:00:00,5,False,0.0
95,2015-01-04 23:00:00,7,False,0.4
96,2015-01-05 00:00:00,8,False,0.14285714285714285
97,2015-01-05 01:00:00,9,False,0.125
98,2015-01-05 02:00:00,12,False,0.3333333333333333
99,2015-01-05 03:00:00,30,False,1.5
100,2015-01-05 04:00:00,32,False,0.06666666666666667
101,2015-01-05 05:00:00,25,False,-0.21875
102,2015-01-05 06:00:00,27,False,0.08
103,2015-01-05 07:00:00,32,False,0.18518518518518517
104,2015-01-05 08:00:00,41,False,0.28125
105,2015-01-05 09:00:00,51,False,0.24390243902439024
106,2015-01-05 10:00:00,52,False,0.0196078431372549
107,2015-01-05 11:00:00,58,False,0.11538461538461539
108,2015-01-05 12:00:00,63,False,0.08620689655172414
109,2015-01-05 13:00:00,63,False,0.0
110,2015-01-05 14:00:00,60,False,-0.047619047619047616
111,2015-01-05 15:00:00,51,False,-0.15
112,2015-01-05 16:00:00,43,False,-0.1568627450980392
113,2015-01-05 17:00:00,40,False,-0.06976744186046512
114,2015-01-05 18:00:00,42,False,0.05
115,2015-01-05 19:00:00,66,False,0.5714285714285714
116,2015-01-05 20:00:00,80,False,0.21212121212121213
117,2015-01-05 21:00:00,88,False,0.1
118,2015-01-05 22:00:00,94,False,0.06818181818181818
119,2015-01-05 23:00:00,100,False,0.06382978723404255
120,2015-01-06 00:00:00,94,False,-0.06
121,2015-01-06 01:00:00,86,False,-0.0851063829787234
122,2015-01-06 02:00:00,71,False,-0.1744186046511628
123,2015-01-06 03:00:00,61,False,-0.14084507042253522
124,2015-01-06 04:00:00,68,False,0.11475409836065574
125,2015-01-06 05:00:00,46,False,-0.3235294117647059
126,2015-01-06 06:00:00,41,False,-0.10869565217391304
127,2015-01-06 07:00:00,36,False,-0.12195121951219512
128,2015-01-06 08:00:00,28,False,-0.2222222222222222
129,2015-01-06 09:00:00,23,False,-0.17857142857142858
130,2015-01-06 10:00:00,24,False,0.043478260869565216
131,2015-01-06 11:00:00,21,False,-0.125
132,2015-01-06 12:00:00,34,False,0.6190476190476191
133,2015-01-06 13:00:00,31,False,-0.08823529411764706
134,2015-01-06 14:00:00,25,False,-0.1935483870967742
135,2015-01-06 15:00:00,25,False,0.0
136,2015-01-06 16:00:00,24,False,-0.04
137,2015-01-06 17:00:00,23,False,-0.041666666666666664
138,2015-01-06 18:00:00,22,False,-0.043478260869565216
139,2015-01-06 19:00:00,23,False,0.045454545454545456
140,2015-01-06 20:00:00,24,False,0.043478260869565216
141,2015-01-06 21:00:00,25,False,0.041666666666666664
142,2015-01-06 22:00:00,24,False,-0.04
143,2015-01-06 23:00:00,26,False,0.08333333333333333
144,2015-01-07 00:00:00,26,False,0.0
145,2015-01-07 01:00:00,27,False,0.038461538461538464
146,2015-01-07 02:00:00,24,False,-0.1111111111111111
147,2015-01-07 03:00:00,28,False,0.16666666666666666
148,2015-01-07 04:00:00,24,False,-0.14285714285714285
149,2015-01-07 05:00:00,19,False,-0.20833333333333334
150,2015-01-07 06:00:00,16,False,-0.15789473684210525
151,2015-01-07 07:00:00,15,False,-0.0625
152,2015-01-07 08:00:00,13,False,-0.13333333333333333
153,2015-01-07 09:00:00,14,False,0.07692307692307693
154,2015-01-07 10:00:00,12,False,-0.14285714285714285
155,2015-01-07 11:00:00,12,False,0.0
156,2015-01-07 12:00:00,13,False,0.08333333333333333
157,2015-01-07 13:00:00,13,False,0.0
158,2015-01-07 14:00:00,13,False,0.0
159,2015-01-07 15:00:00,14,False,0.07692307692307693
160,2015-01-07 16:00:00,14,False,0.0
161,2015-01-07 17:00:00,13,False,-0.07142857142857142
162,2015-01-07 18:00:00,13,False,0.0
163,2015-01-07 19:00:00,14,False,0.07692307692307693
164,2015-01-07 20:00:00,13,False,-0.07142857142857142
165,2015-01-07 21:00:00,15,False,0.15384615384615385
166,2015-01-07 22:00:00,15,False,0.0
167,2015-01-07 23:00:00,14,False,-0.06666666666666667
168,2015-01-08 00:00:00,14,False,0.0
169,2015-01-08 00:00:00,69,False,3.9285714285714284
170,2015-01-08 01:00:00,72,False,0.043478260869565216
171,2015-01-08 02:00:00,63,False,-0.125
172,2015-01-08 03:00:00,69,False,0.09523809523809523
173,2015-01-08 04:00:00,64,False,-0.07246376811594203
174,2015-01-08 05:00:00,54,False,-0.15625
175,2015-01-08 06:00:00,54,False,0.0
176,2015-01-08 07:00:00,40,False,-0.25925925925925924
177,2015-01-08 08:00:00,41,False,0.025
178,2015-01-08 09:00:00,40,False,-0.024390243902439025
179,2015-01-08 10:00:00,37,False,-0.075
180,2015-01-08 11:00:00,40,False,0.08108108108108109
181,2015-01-08 12:00:00,39,False,-0.025
182,2015-01-08 13:00:00,40,False,0.02564102564102564
183,2015-01-08 14:00:00,43,False,0.075
184,2015-01-08 15:00:00,46,False,0.06976744186046512
185,2015-01-08 16:00:00,50,False,0.08695652173913043
186,2015-01-08 17:00:00,48,False,-0.04
187,2015-01-08 18:00:00,50,False,0.041666666666666664
188,2015-01-08 19:00:00,57,False,0.14
189,2015-01-08 20:00:00,61,False,0.07017543859649122
190,2015-01-08 21:00:00,61,False,0.0
191,2015-01-08 22:00:00,64,False,0.04918032786885246
192,2015-01-08 23:00:00,71,False,0.109375
193,2015-01-09 00:00:00,59,False,-0.16901408450704225
194,2015-01-09 01:00:00,59,False,0.0
195,2015-01-09 02:00:00,60,False,0.01694915254237288
196,2015-01-09 03:00:00,100,False,0.6666666666666666
197,2015-01-09 04:00:00,68,False,-0.32
198,2015-01-09 05:00:00,51,False,-0.25
199,2015-01-09 06:00:00,49,False,-0.0392156862745098
200,2015-01-09 07:00:00,40,False,-0.1836734693877551
201,2015-01-09 08:00:00,33,False,-0.175
202,2015-01-09 09:00:00,38,False,0.15151515151515152
203,2015-01-09 10:00:00,35,False,-0.07894736842105263
204,2015-01-09 11:00:00,30,False,-0.14285714285714285
205,2015-01-09 12:00:00,46,False,0.5333333333333333
206,2015-01-09 13:00:00,44,False,-0.043478260869565216
207,2015-01-09 14:00:00,39,False,-0.11363636363636363
208,2015-01-09 15:00:00,44,False,0.1282051282051282
209,2015-01-09 16:00:00,45,False,0.022727272727272728
210,2015-01-09 17:00:00,46,False,0.022222222222222223
211,2015-01-09 18:00:00,42,False,-0.08695652173913043
212,2015-01-09 19:00:00,48,False,0.14285714285714285
213,2015-01-09 20:00:00,48,False,0.0
214,2015-01-09 21:00:00,80,False,0.6666666666666666
215,2015-01-09 22:00:00,50,False,-0.375
216,2015-01-09 23:00:00,46,False,-0.08
217,2015-01-10 00:00:00,42,False,-0.08695652173913043
218,2015-01-10 01:00:00,46,False,0.09523809523809523
219,2015-01-10 02:00:00,49,False,0.06521739130434782
220,2015-01-10 03:00:00,43,False,-0.12244897959183673
221,2015-01-10 04:00:00,37,False,-0.13953488372093023
222,2015-01-10 05:00:00,42,False,0.13513513513513514
223,2015-01-10 06:00:00,41,False,-0.023809523809523808
224,2015-01-10 07:00:00,28,False,-0.3170731707317073
225,2015-01-10 08:00:00,24,False,-0.14285714285714285
226,2015-01-10 09:00:00,28,False,0.16666666666666666
227,2015-01-10 10:00:00,21,False,-0.25
228,2015-01-10 11:00:00,22,False,0.047619047619047616
229,2015-01-10 12:00:00,23,False,0.045454545454545456
230,2015-01-10 13:00:00,26,False,0.13043478260869565
231,2015-01-10 14:00:00,29,False,0.11538461538461539
232,2015-01-10 15:00:00,28,False,-0.034482758620689655
233,2015-01-10 16:00:00,30,False,0.07142857142857142
234,2015-01-10 17:00:00,30,False,0.0
