,date,stock futures,isPartial,delta
0,2015-01-01 00:00:00,12,False,
1,2015-01-01 01:00:00,12,False,0.0
2,2015-01-01 02:00:00,9,False,-0.25
3,2015-01-01 03:00:00,12,False,0.3333333333333333
4,2015-01-01 04:00:00,10,False,-0.16666666666666666
5,2015-01-01 05:00:00,10,False,0.0
6,2015-01-01 06:00:00,6,False,-0.4
7,2015-01-01 07:00:00,9,False,0.5
8,2015-01-01 08:00:00,13,False,0.4444444444444444
9,2015-01-01 09:00:00,5,False,-0.6153846153846154
10,2015-01-01 10:00:00,7,False,0.4
11,2015-01-01 11:00:00,10,False,0.42857142857142855
12,2015-01-01 12:00:00,10,False,0.0
13,2015-01-01 13:00:00,14,False,0.4
14,2015-01-01 14:00:00,14,False,0.0
15,2015-01-01 15:00:00,10,False,-0.2857142857142857
16,2015-01-01 16:00:00,11,False,0.1
17,2015-01-01 17:00:00,9,False,-0.18181818181818182
18,2015-01-01 18:00:00,9,False,0.0
19,2015-01-01 19:00:00,13,False,0.4444444444444444
20,2015-01-01 20:00:00,16,False,0.23076923076923078
21,2015-01-01 21:00:00,18,False,0.125
22,2015-01-01 22:00:00,29,False,0.6111111111111112
23,2015-01-01 23:00:00,56,False,0.9310344827586207
24,2015-01-02 00:00:00,73,False,0.30357142857142855
25,2015-01-02 01:00:00,71,False,-0.0273972602739726
26,2015-01-02 02:00:00,87,False,0.22535211267605634
27,2015-01-02 03:00:00,93,False,0.06896551724137931
28,2015-01-02 04:00:00,83,False,-0.10752688172043011
29,2015-01-02 05:00:00,74,False,-0.10843373493975904
30,2015-01-02 06:00:00,61,False,-0.17567567567567569
31,2015-01-02 07:00:00,42,False,-0.3114754098360656
32,2015-01-02 08:00:00,31,False,-0.2619047619047619
33,2015-01-02 09:00:00,26,False,-0.16129032258064516
34,2015-01-02 10:00:00,23,False,-0.11538461538461539
35,2015-01-02 11:00:00,42,False,0.8260869565217391
36,2015-01-02 12:00:00,61,False,0.4523809523809524
37,2015-01-02 13:00:00,84,False,0.3770491803278688
38,2015-01-02 14:00:00,52,False,-0.38095238095238093
39,2015-01-02 15:00:00,12,False,-0.7692307692307693
40,2015-01-02 16:00:00,9,False,-0.25
41,2015-01-02 17:00:00,9,False,0.0
42,2015-01-02 18:00:00,7,False,-0.2222222222222222
43,2015-01-02 19:00:00,5,False,-0.2857142857142857
44,2015-01-02 20:00:00,5,False,0.0
45,2015-01-02 21:00:00,8,False,0.6
46,2015-01-02 22:00:00,7,False,-0.125
47,2015-01-02 23:00:00,8,False,0.14285714285714285
48,2015-01-03 00:00:00,9,False,0.125
49,2015-01-03 01:00:00,11,False,0.2222222222222222
50,2015-01-03 02:00:00,13,False,0.18181818181818182
51,2015-01-03 03:00:00,11,False,-0.15384615384615385
52,2015-01-03 04:00:00,11,False,0.0
53,2015-01-03 05:00:00,8,False,-0.2727272727272727
54,2015-01-03 06:00:00,3,False,-0.625
55,2015-01-03 07:00:00,9,False,2.0
56,2015-01-03 08:00:00,8,False,-0.1111111111111111
57,2015-01-03 09:00:00,7,False,-0.125
58,2015-01-03 10:00:00,9,False,0.2857142857142857
59,2015-01-03 11:00:00,5,False,-0.4444444444444444
60,2015-01-03 12:00:00,5,False,0.0
61,2015-01-03 13:00:00,9,False,0.8
62,2015-01-03 14:00:00,6,False,-0.3333333333333333
63,2015-01-03 15:00:00,6,False,0.0
64,2015-01-03 16:00:00,7,False,0.16666666666666666
65,2015-01-03 17:00:00,8,False,0.14285714285714285
66,2015-01-03 18:00:00,8,False,0.0
67,2015-01-03 19:00:00,4,False,-0.5
68,2015-01-03 20:00:00,5,False,0.25
69,2015-01-03 21:00:00,4,False,-0.2
70,2015-01-03 22:00:00,8,False,1.0
71,2015-01-03 23:00:00,9,False,0.125
72,2015-01-04 00:00:00,7,False,-0.2222222222222222
73,2015-01-04 01:00:00,9,False,0.2857142857142857
74,2015-01-04 02:00:00,13,False,0.4444444444444444
75,2015-01-04 03:00:00,9,False,-0.3076923076923077
76,2015-01-04 04:00:00,6,False,-0.3333333333333333
77,2015-01-04 05:00:00,11,False,0.8333333333333334
78,2015-01-04 06:00:00,13,False,0.18181818181818182
79,2015-01-04 07:00:00,9,False,-0.3076923076923077
80,2015-01-04 08:00:00,8,False,-0.1111111111111111
81,2015-01-04 09:00:00,6,False,-0.25
82,2015-01-04 10:00:00,5,False,-0.16666666666666666
83,2015-01-04 11:00:00,6,False,0.2
84,2015-01-04 12:00:00,9,False,0.5
85,2015-01-04 13:00:00,11,False,0.2222222222222222
86,2015-01-04 14:00:00,9,False,-0.18181818181818182
87,2015-01-04 15:00:00,11,False,0.2222222222222222
88,2015-01-04 16:00:00,9,False,-0.18181818181818182
89,2015-01-04 17:00:00,14,False,0.5555555555555556
90,2015-01-04 18:00:00,9,False,-0.35714285714285715
91,2015-01-04 19:00:00,12,False,0.3333333333333333
92,2015-01-04 20:00:00,16,False,0.3333333333333333
93,2015-01-04 21:00:00,22,False,0.375
94,2015-01-04 22:00:00,30,False,0.36363636363636365
95,2015-01-04 23:00:00,66,False,1.2
96,2015-01-05 00:00:00,67,False,0.015151515151515152
97,2015-01-05 01:00:00,88,False,0.31343283582089554
98,2015-01-05 02:00:00,95,False,0.07954545454545454
99,2015-01-05 03:00:00,89,False,-0.06315789473684211
100,2015-01-05 04:00:00,73,False,-0.1797752808988764
101,2015-01-05 05:00:00,61,False,-0.1643835616438356
102,2015-01-05 06:00:00,44,False,-0.2786885245901639
103,2015-01-05 07:00:00,33,False,-0.25
