,date,politics,isPartial,delta
0,2015-01-01 00:00:00,57,False,
1,2015-01-01 01:00:00,48,False,-0.15789473684210525
2,2015-01-01 02:00:00,42,False,-0.125
3,2015-01-01 03:00:00,38,False,-0.09523809523809523
4,2015-01-01 04:00:00,37,False,-0.02631578947368421
5,2015-01-01 05:00:00,36,False,-0.02702702702702703
6,2015-01-01 06:00:00,35,False,-0.027777777777777776
7,2015-01-01 07:00:00,35,False,0.0
8,2015-01-01 08:00:00,33,False,-0.05714285714285714
9,2015-01-01 09:00:00,30,False,-0.09090909090909091
10,2015-01-01 10:00:00,28,False,-0.06666666666666667
11,2015-01-01 11:00:00,25,False,-0.10714285714285714
12,2015-01-01 12:00:00,26,False,0.04
13,2015-01-01 13:00:00,26,False,0.0
14,2015-01-01 14:00:00,25,False,-0.038461538461538464
15,2015-01-01 15:00:00,26,False,0.04
16,2015-01-01 16:00:00,26,False,0.0
17,2015-01-01 17:00:00,27,False,0.038461538461538464
18,2015-01-01 18:00:00,26,False,-0.037037037037037035
19,2015-01-01 19:00:00,24,False,-0.07692307692307693
20,2015-01-01 20:00:00,25,False,0.041666666666666664
21,2015-01-01 21:00:00,23,False,-0.08
22,2015-01-01 22:00:00,24,False,0.043478260869565216
23,2015-01-01 23:00:00,24,False,0.0
24,2015-01-02 00:00:00,25,False,0.041666666666666664
25,2015-01-02 01:00:00,22,False,-0.12
26,2015-01-02 02:00:00,23,False,0.045454545454545456
27,2015-01-02 03:00:00,23,False,0.0
28,2015-01-02 04:00:00,24,False,0.043478260869565216
29,2015-01-02 05:00:00,27,False,0.125
30,2015-01-02 06:00:00,27,False,0.0
31,2015-01-02 07:00:00,25,False,-0.07407407407407407
32,2015-01-02 08:00:00,22,False,-0.12
33,2015-01-02 09:00:00,25,False,0.13636363636363635
34,2015-01-02 10:00:00,22,False,-0.12
35,2015-01-02 11:00:00,22,False,0.0
36,2015-01-02 12:00:00,20,False,-0.09090909090909091
37,2015-01-02 13:00:00,22,False,0.1
38,2015-01-02 14:00:00,21,False,-0.045454545454545456
39,2015-01-02 15:00:00,21,False,0.0
40,2015-01-02 16:00:00,23,False,0.09523809523809523
41,2015-01-02 17:00:00,22,False,-0.043478260869565216
42,2015-01-02 18:00:00,21,False,-0.045454545454545456
43,2015-01-02 19:00:00,21,False,0.0
44,2015-01-02 20:00:00,21,False,0.0
45,2015-01-02 21:00:00,21,False,0.0
46,2015-01-02 22:00:00,20,False,-0.047619047619047616
47,2015-01-02 23:00:00,20,False,0.0
48,2015-01-03 00:00:00,23,False,0.15
49,2015-01-03 01:00:00,21,False,-0.08695652173913043
50,2015-01-03 02:00:00,22,False,0.047619047619047616
51,2015-01-03 03:00:00,22,False,0.0
52,2015-01-03 04:00:00,22,False,0.0
53,2015-01-03 05:00:00,23,False,0.045454545454545456
54,2015-01-03 06:00:00,23,False,0.0
55,2015-01-03 07:00:00,23,False,0.0
56,2015-01-03 08:00:00,22,False,-0.043478260869565216
57,2015-01-03 09:00:00,22,False,0.0
58,2015-01-03 10:00:00,21,False,-0.045454545454545456
59,2015-01-03 11:00:00,22,False,0.047619047619047616
60,2015-01-03 12:00:00,21,False,-0.045454545454545456
61,2015-01-03 13:00:00,20,False,-0.047619047619047616
62,2015-01-03 14:00:00,20,False,0.0
63,2015-01-03 15:00:00,20,False,0.0
64,2015-01-03 16:00:00,20,False,0.0
65,2015-01-03 17:00:00,28,False,0.4
66,2015-01-03 18:00:00,35,False,0.25
67,2015-01-03 19:00:00,45,False,0.2857142857142857
68,2015-01-03 20:00:00,47,False,0.044444444444444446
69,2015-01-03 21:00:00,47,False,0.0
70,2015-01-03 22:00:00,49,False,0.0425531914893617
71,2015-01-03 23:00:00,51,False,0.04081632653061224
72,2015-01-04 00:00:00,48,False,-0.058823529411764705
73,2015-01-04 01:00:00,48,False,0.0
74,2015-01-04 02:00:00,46,False,-0.041666666666666664
75,2015-01-04 03:00:00,45,False,-0.021739130434782608
76,2015-01-04 04:00:00,40,False,-0.1111111111111111
77,2015-01-04 05:00:00,40,False,0.0
78,2015-01-04 06:00:00,39,False,-0.025
79,2015-01-04 07:00:00,34,False,-0.1282051282051282
80,2015-01-04 08:00:00,31,False,-0.08823529411764706
81,2015-01-04 09:00:00,29,False,-0.06451612903225806
82,2015-01-04 10:00:00,28,False,-0.034482758620689655
83,2015-01-04 11:00:00,27,False,-0.03571428571428571
84,2015-01-04 12:00:00,27,False,0.0
85,2015-01-04 13:00:00,25,False,-0.07407407407407407
86,2015-01-04 14:00:00,24,False,-0.04
87,2015-01-04 15:00:00,26,False,0.08333333333333333
88,2015-01-04 16:00:00,25,False,-0.038461538461538464
89,2015-01-04 17:00:00,26,False,0.04
90,2015-01-04 18:00:00,25,False,-0.038461538461538464
91,2015-01-04 19:00:00,26,False,0.04
92,2015-01-04 20:00:00,26,False,0.0
93,2015-01-04 21:00:00,24,False,-0.07692307692307693
94,2015-01-04 22:00:00,25,False,0.041666666666666664
95,2015-01-04 23:00:00,26,False,0.04
96,2015-01-05 00:00:00,29,False,0.11538461538461539
97,2015-01-05 01:00:00,28,False,-0.034482758620689655
98,2015-01-05 02:00:00,28,False,0.0
99,2015-01-05 03:00:00,28,False,0.0
100,2015-01-05 04:00:00,28,False,0.0
101,2015-01-05 05:00:00,28,False,0.0
102,2015-01-05 06:00:00,30,False,0.07142857142857142
103,2015-01-05 07:00:00,27,False,-0.1
104,2015-01-05 08:00:00,25,False,-0.07407407407407407
105,2015-01-05 09:00:00,26,False,0.04
