,date,government spending,isPartial,delta
0,2015-01-01 00:00:00,3,False,
1,2015-01-01 01:00:00,2,False,-0.3333333333333333
2,2015-01-01 02:00:00,3,False,0.5
3,2015-01-01 03:00:00,3,False,0.0
4,2015-01-01 04:00:00,4,False,0.3333333333333333
5,2015-01-01 05:00:00,3,False,-0.25
6,2015-01-01 06:00:00,2,False,-0.3333333333333333
7,2015-01-01 07:00:00,3,False,0.5
8,2015-01-01 08:00:00,2,False,-0.3333333333333333
9,2015-01-01 09:00:00,2,False,0.0
10,2015-01-01 10:00:00,2,False,0.0
11,2015-01-01 11:00:00,3,False,0.5
12,2015-01-01 12:00:00,3,False,0.0
13,2015-01-01 13:00:00,2,False,-0.3333333333333333
14,2015-01-01 14:00:00,2,False,0.0
15,2015-01-01 15:00:00,5,False,1.5
16,2015-01-01 16:00:00,2,False,-0.6
17,2015-01-01 17:00:00,3,False,0.5
18,2015-01-01 18:00:00,4,False,0.3333333333333333
19,2015-01-01 19:00:00,3,False,-0.25
20,2015-01-01 20:00:00,41,False,12.666666666666666
21,2015-01-01 21:00:00,81,False,0.975609756097561
22,2015-01-01 22:00:00,95,False,0.1728395061728395
23,2015-01-01 23:00:00,98,False,0.031578947368421054
24,2015-01-02 00:00:00,100,False,0.02040816326530612
25,2015-01-02 01:00:00,93,False,-0.07
26,2015-01-02 02:00:00,85,False,-0.08602150537634409
27,2015-01-02 03:00:00,57,False,-0.32941176470588235
28,2015-01-02 04:00:00,46,False,-0.19298245614035087
29,2015-01-02 05:00:00,35,False,-0.2391304347826087
30,2015-01-02 06:00:00,28,False,-0.2
31,2015-01-02 07:00:00,26,False,-0.07142857142857142
32,2015-01-02 08:00:00,23,False,-0.11538461538461539
33,2015-01-02 09:00:00,18,False,-0.21739130434782608
34,2015-01-02 10:00:00,21,False,0.16666666666666666
35,2015-01-02 11:00:00,17,False,-0.19047619047619047
36,2015-01-02 12:00:00,17,False,0.0
37,2015-01-02 13:00:00,17,False,0.0
38,2015-01-02 14:00:00,14,False,-0.17647058823529413
39,2015-01-02 15:00:00,12,False,-0.14285714285714285
40,2015-01-02 16:00:00,12,False,0.0
41,2015-01-02 17:00:00,11,False,-0.08333333333333333
42,2015-01-02 18:00:00,15,False,0.36363636363636365
43,2015-01-02 19:00:00,13,False,-0.13333333333333333
44,2015-01-02 20:00:00,9,False,-0.3076923076923077
45,2015-01-02 21:00:00,13,False,0.4444444444444444
46,2015-01-02 22:00:00,13,False,0.0
47,2015-01-02 23:00:00,12,False,-0.07692307692307693
48,2015-01-03 00:00:00,15,False,0.25
49,2015-01-03 01:00:00,12,False,-0.2
50,2015-01-03 02:00:00,13,False,0.08333333333333333
51,2015-01-03 03:00:00,12,False,-0.07692307692307693
52,2015-01-03 04:00:00,10,False,-0.16666666666666666
53,2015-01-03 05:00:00,12,False,0.2
54,2015-01-03 06:00:00,11,False,-0.08333333333333333
55,2015-01-03 07:00:00,8,False,-0.2727272727272727
56,2015-01-03 08:00:00,11,False,0.375
57,2015-01-03 09:00:00,8,False,-0.2727272727272727
58,2015-01-03 10:00:00,8,False,0.0
59,2015-01-03 11:00:00,8,False,0.0
60,2015-01-03 12:00:00,7,False,-0.125
61,2015-01-03 13:00:00,7,False,0.0
62,2015-01-03 14:00:00,8,False,0.14285714285714285
63,2015-01-03 15:00:00,7,False,-0.125
64,2015-01-03 16:00:00,7,False,0.0
65,2015-01-03 17:00:00,6,False,-0.14285714285714285
66,2015-01-03 18:00:00,6,False,0.0
67,2015-01-03 19:00:00,6,False,0.0
68,2015-01-03 20:00:00,6,False,0.0
69,2015-01-03 21:00:00,6,False,0.0
70,2015-01-03 22:00:00,7,False,0.16666666666666666
71,2015-01-03 23:00:00,7,False,0.0
72,2015-01-04 00:00:00,9,False,0.2857142857142857
73,2015-01-04 01:00:00,8,False,-0.1111111111111111
74,2015-01-04 02:00:00,9,False,0.125
75,2015-01-04 03:00:00,9,False,0.0
76,2015-01-04 04:00:00,7,False,-0.2222222222222222
77,2015-01-04 05:00:00,7,False,0.0
78,2015-01-04 06:00:00,5,False,-0.2857142857142857
79,2015-01-04 07:00:00,5,False,0.0
80,2015-01-04 08:00:00,7,False,0.4
81,2015-01-04 09:00:00,4,False,-0.42857142857142855
82,2015-01-04 10:00:00,6,False,0.5
83,2015-01-04 11:00:00,5,False,-0.16666666666666666
84,2015-01-04 12:00:00,5,False,0.0
85,2015-01-04 13:00:00,6,False,0.2
86,2015-01-04 14:00:00,5,False,-0.16666666666666666
87,2015-01-04 15:00:00,5,False,0.0
88,2015-01-04 16:00:00,4,False,-0.2
89,2015-01-04 17:00:00,5,False,0.25
90,2015-01-04 18:00:00,5,False,0.0
91,2015-01-04 19:00:00,5,False,0.0
92,2015-01-04 20:00:00,7,False,0.4
93,2015-01-04 21:00:00,7,False,0.0
94,2015-01-04 22:00:00,7,False,0.0
95,2015-01-04 23:00:00,8,False,0.14285714285714285
96,2015-01-05 00:00:00,8,False,0.0
97,2015-01-05 01:00:00,6,False,-0.25
98,2015-01-05 02:00:00,9,False,0.5
99,2015-01-05 03:00:00,8,False,-0.1111111111111111
100,2015-01-05 04:00:00,8,False,0.0
101,2015-01-05 05:00:00,6,False,-0.25
102,2015-01-05 06:00:00,6,False,0.0
103,2015-01-05 07:00:00,5,False,-0.16666666666666666
104,2015-01-05 08:00:00,6,False,0.2
105,2015-01-05 09:00:00,5,False,-0.16666666666666666
106,2015-01-05 10:00:00,6,False,0.2
107,2015-01-05 11:00:00,6,False,0.0
