,date,silicon valley,isPartial,delta
0,2015-01-01 00:00:00,50,False,
1,2015-01-01 01:00:00,59,False,0.18
2,2015-01-01 02:00:00,53,False,-0.1016949152542373
3,2015-01-01 03:00:00,57,False,0.07547169811320754
4,2015-01-01 04:00:00,60,False,0.05263157894736842
5,2015-01-01 05:00:00,52,False,-0.13333333333333333
6,2015-01-01 06:00:00,46,False,-0.11538461538461539
7,2015-01-01 07:00:00,44,False,-0.043478260869565216
8,2015-01-01 08:00:00,37,False,-0.1590909090909091
9,2015-01-01 09:00:00,36,False,-0.02702702702702703
10,2015-01-01 10:00:00,32,False,-0.1111111111111111
11,2015-01-01 11:00:00,32,False,0.0
12,2015-01-01 12:00:00,35,False,0.09375
13,2015-01-01 13:00:00,41,False,0.17142857142857143
14,2015-01-01 14:00:00,39,False,-0.04878048780487805
15,2015-01-01 15:00:00,40,False,0.02564102564102564
16,2015-01-01 16:00:00,44,False,0.1
17,2015-01-01 17:00:00,48,False,0.09090909090909091
18,2015-01-01 18:00:00,52,False,0.08333333333333333
19,2015-01-01 19:00:00,56,False,0.07692307692307693
20,2015-01-01 20:00:00,65,False,0.16071428571428573
21,2015-01-01 21:00:00,65,False,0.0
22,2015-01-01 22:00:00,64,False,-0.015384615384615385
23,2015-01-01 23:00:00,65,False,0.015625
24,2015-01-02 00:00:00,71,False,0.09230769230769231
25,2015-01-02 01:00:00,77,False,0.08450704225352113
26,2015-01-02 02:00:00,70,False,-0.09090909090909091
27,2015-01-02 03:00:00,64,False,-0.08571428571428572
28,2015-01-02 04:00:00,68,False,0.0625
29,2015-01-02 05:00:00,63,False,-0.07352941176470588
30,2015-01-02 06:00:00,67,False,0.06349206349206349
31,2015-01-02 07:00:00,56,False,-0.16417910447761194
32,2015-01-02 08:00:00,43,False,-0.23214285714285715
33,2015-01-02 09:00:00,36,False,-0.16279069767441862
34,2015-01-02 10:00:00,34,False,-0.05555555555555555
35,2015-01-02 11:00:00,43,False,0.2647058823529412
36,2015-01-02 12:00:00,37,False,-0.13953488372093023
37,2015-01-02 13:00:00,39,False,0.05405405405405406
38,2015-01-02 14:00:00,38,False,-0.02564102564102564
39,2015-01-02 15:00:00,41,False,0.07894736842105263
40,2015-01-02 16:00:00,45,False,0.0975609756097561
41,2015-01-02 17:00:00,50,False,0.1111111111111111
42,2015-01-02 18:00:00,50,False,0.0
43,2015-01-02 19:00:00,56,False,0.12
44,2015-01-02 20:00:00,56,False,0.0
45,2015-01-02 21:00:00,56,False,0.0
46,2015-01-02 22:00:00,60,False,0.07142857142857142
47,2015-01-02 23:00:00,69,False,0.15
48,2015-01-03 00:00:00,65,False,-0.057971014492753624
49,2015-01-03 01:00:00,65,False,0.0
50,2015-01-03 02:00:00,64,False,-0.015384615384615385
51,2015-01-03 03:00:00,69,False,0.078125
52,2015-01-03 04:00:00,72,False,0.043478260869565216
53,2015-01-03 05:00:00,65,False,-0.09722222222222222
54,2015-01-03 06:00:00,60,False,-0.07692307692307693
55,2015-01-03 07:00:00,53,False,-0.11666666666666667
56,2015-01-03 08:00:00,47,False,-0.11320754716981132
57,2015-01-03 09:00:00,51,False,0.0851063829787234
58,2015-01-03 10:00:00,37,False,-0.27450980392156865
59,2015-01-03 11:00:00,40,False,0.08108108108108109
60,2015-01-03 12:00:00,37,False,-0.075
61,2015-01-03 13:00:00,38,False,0.02702702702702703
62,2015-01-03 14:00:00,40,False,0.05263157894736842
63,2015-01-03 15:00:00,38,False,-0.05
64,2015-01-03 16:00:00,44,False,0.15789473684210525
65,2015-01-03 17:00:00,49,False,0.11363636363636363
66,2015-01-03 18:00:00,48,False,-0.02040816326530612
67,2015-01-03 19:00:00,52,False,0.08333333333333333
68,2015-01-03 20:00:00,50,False,-0.038461538461538464
69,2015-01-03 21:00:00,53,False,0.06
70,2015-01-03 22:00:00,58,False,0.09433962264150944
71,2015-01-03 23:00:00,75,False,0.29310344827586204
72,2015-01-04 00:00:00,74,False,-0.013333333333333334
73,2015-01-04 01:00:00,63,False,-0.14864864864864866
74,2015-01-04 02:00:00,66,False,0.047619047619047616
75,2015-01-04 03:00:00,71,False,0.07575757575757576
76,2015-01-04 04:00:00,69,False,-0.028169014084507043
77,2015-01-04 05:00:00,67,False,-0.028985507246376812
78,2015-01-04 06:00:00,67,False,0.0
79,2015-01-04 07:00:00,52,False,-0.22388059701492538
80,2015-01-04 08:00:00,48,False,-0.07692307692307693
81,2015-01-04 09:00:00,45,False,-0.0625
82,2015-01-04 10:00:00,46,False,0.022222222222222223
83,2015-01-04 11:00:00,43,False,-0.06521739130434782
84,2015-01-04 12:00:00,38,False,-0.11627906976744186
85,2015-01-04 13:00:00,41,False,0.07894736842105263
86,2015-01-04 14:00:00,40,False,-0.024390243902439025
87,2015-01-04 15:00:00,37,False,-0.075
88,2015-01-04 16:00:00,48,False,0.2972972972972973
89,2015-01-04 17:00:00,55,False,0.14583333333333334
90,2015-01-04 18:00:00,54,False,-0.01818181818181818
91,2015-01-04 19:00:00,52,False,-0.037037037037037035
92,2015-01-04 20:00:00,56,False,0.07692307692307693
93,2015-01-04 21:00:00,64,False,0.14285714285714285
94,2015-01-04 22:00:00,73,False,0.140625
95,2015-01-04 23:00:00,76,False,0.0410958904109589
96,2015-01-05 00:00:00,78,False,0.02631578947368421
97,2015-01-05 01:00:00,80,False,0.02564102564102564
98,2015-01-05 02:00:00,91,False,0.1375
99,2015-01-05 03:00:00,80,False,-0.12087912087912088
100,2015-01-05 04:00:00,76,False,-0.05
